text,label
I love playing cricket with my friends,0
I am studying for my exams today,0
I went to the market to buy vegetables,0
I like reading books in the evening,0
The weather is very nice today,0
I completed my homework on time,0
I enjoy listening to music,0
I wake up early in the morning,0
My favorite subject is mathematics,0
I am preparing for my semester exams,0
Artificial intelligence is transforming the world,1
Machine learning is a subset of AI,1
Deep learning uses neural networks,1
AI can generate human like text,1
Natural language processing is a field of AI,1
Large language models are very powerful,1
AI is used in robotics and automation,1
Data science and artificial intelligence are related fields,1
Generative AI can create text images and music,1
AI systems learn from large amounts of data,1
